STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       4466;2019120801:13;    1;  121.0;    0.0;    0.0;   0;   143.95;2019120802:00;eor
       4466;2019120802:13;    1;  123.0;    0.0;    0.0;   0;   137.62;2019120803:00;eor
       4466;2019120803:13;    1;  123.0;    0.0;    0.0;   0;   129.78;2019120804:00;eor
       4466;2019120804:13;    1;  124.0;    0.0;    0.0;   0;   121.26;2019120805:00;eor
       4466;2019120805:13;    1;  125.0;    0.0;    0.0;   0;   112.58;2019120806:00;eor
       4466;2019120806:13;    1;  125.0;    0.0;    0.0;   0;   104.13;2019120807:00;eor
       4466;2019120807:13;    1;  125.0;    0.0;    0.0;   0;    96.27;2019120808:00;eor
       4466;2019120808:13;    1;  124.0;    0.0;    0.0;   0;    89.33;2019120809:00;eor
       4466;2019120809:13;    1;  125.0;    2.0;    2.0;   0;    83.66;2019120810:00;eor
       4466;2019120810:13;    1;  127.0;    4.0;    4.0;   0;    79.61;2019120811:00;eor
       4466;2019120811:13;    1;  127.0;    6.0;    6.0;   0;    77.50;2019120812:00;eor
       4466;2019120812:13;    1;  127.0;   12.0;   12.0;   0;    77.51;2019120813:00;eor
       4466;2019120813:13;    1;  126.0;   12.0;   12.0;   0;    79.62;2019120814:00;eor
       4466;2019120814:13;    1;  124.0;    8.0;    8.0;   0;    83.68;2019120815:00;eor
       4466;2019120815:13;    1;  122.0;    2.0;    2.0;   0;    89.35;2019120816:00;eor
       4466;2019120816:13;    1;  108.0;    0.0;    0.0;   0;    96.30;2019120817:00;eor
       4466;2019120817:13;    1;  104.0;    0.0;    0.0;   0;   104.17;2019120818:00;eor
       4466;2019120818:13;    1;  118.0;    0.0;    0.0;   0;   112.62;2019120819:00;eor
       4466;2019120819:13;    1;  114.0;    0.0;    0.0;   0;   121.31;2019120820:00;eor
       4466;2019120820:13;    1;  114.0;    0.0;    0.0;   0;   129.84;2019120821:00;eor
